country,country_code,continent,year,iwi,literacy,gov_edu_exp,secondary_enrol
Azerbaijan,AZE,Europe,2014,74.2,100.0,2.63303995132446,83.4386600193183
Bangladesh,BGD,Asia/Pacific,2014,39.8,61.0,2.09871673583984,
Burkina Faso,BFA,Africa,2014,34.9,35.0,4.05329990386963,29.732629776001
Burundi,BDI,Africa,2014,19.9,62.0,7.51637983322144,41.4826889038086
Cambodia,KHM,Asia/Pacific,2014,52.3,78.0,1.56673634052277,
Colombia,COL,America,2014,81.5,94.0,,97.3632888793945
Cote d'Ivoire,CIV,Africa,2014,45.9,44.0,3.31416988372803,38.4756011962891
Dominican Republic,DOM,America,2014,77.1,92.0,3.62243437767029,80.1145401000977
Ecuador,ECU,America,2014,77.3,94.0,5.21020984649658,102.590339660645
Georgia,GEO,Asia/Pacific,2014,78.5,100.0,2.99768662452698,105.019508361816
Guatemala,GTM,America,2014,65.1,81.0,2.98562002182007,53.089958190918
Guinea,GIN,Africa,2014,37.2,32.0,2.42281007766724,38.9089202880859
Guinea Bissau,GNB,Africa,2014,33.2,45.5811614990234,,
Guyana,GUY,America,2014,78.3,85.6397323608398,4.36033010482788,
Honduras,HND,America,2014,67.2,87.0,7.0901198387146,49.1755714416504
Indonesia,IDN,Asia/Pacific,2014,67.8,95.0,3.28800988197327,84.6881516846731
Iraq,IRQ,Asia/Pacific,2014,86.4,82.0,,
Kenya,KEN,Africa,2014,39.2,78.733039855957,4.7172999382019,
Lesotho,LSO,Africa,2014,39.4,76.6352005004883,7.19999980926514,57.1081876194883
Malawi,MWI,Africa,2014,23.8,65.1453704833984,3.66006016731262,40.0774307250977
Maldives,MDV,Asia/Pacific,2014,83.7,99.0,3.88979530334473,
Mauritius,MUS,Africa,2014,88.9,92.0,4.81514978408813,97.0753479003906
Mexico,MEX,America,2014,78.1,95.0,5.06808996200562,97.3196868896484
Moldova,MDA,Europe,2014,71.7,99.0,6.33806991577148,104.383476257324
